rank,model_score,priority,recommended_action,confidence_note,impressions_prev_30d,impressions_last_30d,avg_position_90d,severe_decline
1,0.99,High,Review immediately for possible refresh or recovery action,High predicted probability of severe decline,107,3,9.7,1
2,0.985,High,Review immediately for possible refresh or recovery action,High predicted probability of severe decline,130,3,9.0,1
3,0.985,High,Review immediately for possible refresh or recovery action,High predicted probability of severe decline,132,7,9.1,1
4,0.985,High,Review immediately for possible refresh or recovery action,High predicted probability of severe decline,103,21,11.7,1
5,0.98,High,Review immediately for possible refresh or recovery action,High predicted probability of severe decline,114,14,13.4,1
6,0.975,High,Review immediately for possible refresh or recovery action,High predicted probability of severe decline,118,8,10.7,1
7,0.975,High,Review immediately for possible refresh or recovery action,High predicted probability of severe decline,118,22,30.2,1
8,0.975,High,Review immediately for possible refresh or recovery action,High predicted probability of severe decline,107,16,14.0,1
9,0.975,High,Review immediately for possible refresh or recovery action,High predicted probability of severe decline,116,0,10.3,1
10,0.975,High,Review immediately for possible refresh or recovery action,High predicted probability of severe decline,149,0,23.0,1
11,0.975,High,Review immediately for possible refresh or recovery action,High predicted probability of severe decline,107,12,11.6,1
12,0.97,High,Review immediately for possible refresh or recovery action,High predicted probability of severe decline,113,16,7.1,1
13,0.97,High,Review immediately for possible refresh or recovery action,High predicted probability of severe decline,120,0,9.1,1
14,0.97,High,Review immediately for possible refresh or recovery action,High predicted probability of severe decline,105,11,18.5,1
15,0.97,High,Review immediately for possible refresh or recovery action,High predicted probability of severe decline,124,11,6.3,1
16,0.97,High,Review immediately for possible refresh or recovery action,High predicted probability of severe decline,105,18,10.4,1
17,0.965,High,Review immediately for possible refresh or recovery action,High predicted probability of severe decline,110,36,8.1,1
18,0.965,High,Review immediately for possible refresh or recovery action,High predicted probability of severe decline,103,3,8.4,1
19,0.965,High,Review immediately for possible refresh or recovery action,High predicted probability of severe decline,113,7,19.4,1
20,0.965,High,Review immediately for possible refresh or recovery action,High predicted probability of severe decline,130,1,11.3,1
